2025.08.09 17:43:38,670	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2025.08.09 17:43:38,725	INFO	1	org.l2jmobius.commons.threads.ThreadPool	ThreadPool: Initialized
2025.08.09 17:43:38,726	INFO	1	org.l2jmobius.commons.threads.ThreadPool	...scheduled pool executor with 2 total threads.
2025.08.09 17:43:38,726	INFO	1	org.l2jmobius.commons.threads.ThreadPool	...instant pool executor with 2 total threads.
2025.08.09 17:43:38,728	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2025.08.09 17:43:39,011	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2025.08.09 17:43:39,090	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2025.08.09 17:43:39,101	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 1 registered Game Servers.
2025.08.09 17:43:39,147	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2025.08.09 17:43:39,150	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2025.08.09 17:43:39,152	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 127.0.0.1:9014
2025.08.09 17:43:39,166	INFO	37	org.l2jmobius.commons.network.NetServer	LoginServer: Listening on port 2106 for incoming connections.
2025.08.09 17:43:59,490	INFO	40	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2025.08.09 17:43:59,491	INFO	40	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2025.08.09 17:43:59,491	INFO	40	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2025.08.09 17:43:59,491	INFO	40	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2025.08.09 17:43:59,491	INFO	40	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
2025.08.09 17:43:59,491	INFO	40	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2025.08.09 17:43:59,491	INFO	40	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2025.08.09 17:43:59,491	INFO	40	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/0.0.0.0/0
2025.08.09 17:49:08,055	INFO	40	org.l2jmobius.loginserver.GameServerThread	GameServer [1] Bartz: Connection lost: Connection reset
2025.08.09 17:49:08,055	INFO	40	org.l2jmobius.loginserver.GameServerThread	Server [1] Bartz is now set as disconnected.
